Head,Message,Type
Preventing infection by eating garlic,'Cover your face': Countries across the globe urge people to use face masks to fight coronavirus,Real
All ages can be infected,Covid-19 outbreak: How to make your own face mask at home,Real
Use of Antibiotics,Why Kerala is a home to 'outsiders',Real
Medicines for prevention and treatment,PM Modi tweets #9pm9minute to remind people to light up diyas tonight,Real
Health System Response Monitor,Central ministers have packed schedule at home during lockdown,Real
Prince Charles recovery,Highest single-day casualty of 27 takes India’s corona toll to 124,Real
News about COVID-19,Is 2 years jail term enough for malignant act to spread life threatening disease?,Real
Covid patients,Karnataka moves SC against Kerala HC's direction on opening sealed Karnataka-Kerala border for Covid patients,Real
COVID-19 pandemic:,"Congress playing 'petty politics', should put up united front against COVID-19 pandemic: BJP",Real
Covid-19 cases cross 50,"West Bengal death toll rises to seven, Covid-19 cases cross 50",Real
Covid-19,"Before his death, ex-Hazuri Raagi complained of not getting 'proper treatment'",Real
Covid-19,"Covid-19: NE tally rises to 24 with 5 new cases in Assam, Manipur and Arunachal",Real
PM Modi's 9,"PM Modi's 9-minute blackout call goes well, no disruption electricity grid",Real
Malaysia's indigenous people flee into forests to escape coronavirus,Malaysia's indigenous people flee into forests to escape coronavirus,Real
PM Modi's 9,"Battle against coronavirus: Millions of Indians respond to PM's appeal; light candles, diyas to show collective resolve",Real
 Tablighi Jamaat,"1,023 Covid-19 cases with links to Tablighi Jamaat reported from 17 states: Govt",Real
Covid-19,"Covid-19 in India: Testing numbers to double to 20,000 in 3 days",Real
Transmittion of virus in hot and humid climates,"28,000 temporary shelters, 19,500 food camps for migrant workers functional across states: MHA",Real
Transmission through mosquito bites,Sample testing criteria for Covid-19 may be revised: Health Ministry,Real
Effect of cold temperatures on COVID 19,"Vice President M Venkaiah Naidu, his wife light lamps in solidarity against coronavirus",Real
Effect of using hand dryers,"DRDO develops bio suits for doctors, paramedics engaged in treating coronavirus patients",Real
ultraviolet disinfection lamp,"CRPF airlifts LoC man after son begins 2,100 km cycle ride from Mumbai amid lockdown",Real
Detection through thermal scanners,DIY masks: What precautions you need to take while removing handmade mask,Real
Killing the virus by spraying alcohol or chlorine,"Covid-19: From drones to testing labs, IISc offers 11 technologies",Real
Coronavirus vaccine,Shiv Sena's Raut lashes out at PM's 'light up lamps' appeal,Real
Preventing infection by rinsing your nose,How to clean and sanitize your homemade masks every day,Real
Preventing infection by eating garlic,"If it’s a disaster, you can count on them",Real
All ages can be infected,Shining torches in the sky won’t address India’s COVID-19 problem: Rahul Gandhi,Real
Use of Antibiotics,No threat to grid from PM's lights-out call on Sunday,Real
Medicines for prevention and treatment,"PM Modi calls on Spanish PM, discusses situation arising out of Covid-19 pandemic",Real
Health System Response Monitor,Editors Guild objects to govt stand,Real
Prince Charles recovery,"BJP is true carrier of India's democracy, says Amit Shah",Real
News about COVID-19,"Coronavirus latest update: Over 2,500 positive cases in India; 62 deaths",Real
Covid-19,Covid-19: How safe are our doctors?,Real
India plan strategy,'India cannot relax its guard; needs to ramp up testing strategy’,Real
Effected on World Bank,World Bank rushes in $1bn for India,Real
Day 11 of coronavirus lockdown,Day 11 of coronavirus lockdown: Ground report from Indian cities,Real
Coronavirus for worker,Coronavirus: 54 workers of Pondy govt hospital sacked for absence at duty,Real
Facemasks against Covid-19,What CDC has to say on the usage of facemasks against Covid-19,Real
What is coronavirus,"Corona viruses are a large family of viruses which may cause illness in animals or humans. In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.",Real
What is covid 19,"COVID-19 is the infectious disease caused by the most recently discovered corona virus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 20",Real
What are the symptoms of COVID 19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",Real
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.",Real
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,Real
Can CoVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.",Real
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. The ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating.",Real
Washing Hands regularly,Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.,Real
Social Distancing,"Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.",Real
"Avoid touching eyes, nose and mouth.","Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.",Real
Follow good respiratory hygiene,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.",Real
seek medical attention and call in advance,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.",Real
COVID-19 hotspots,"Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",Real
Self-isolate,"Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people.",Real
Call in advance,"If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers. Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses.",Real
How likely am I to catch COVID-19?,"For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.",Real
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.",Real
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others.",Real
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection.",Real
Are there any medicines or therapies that can prevent or cure COVID-19,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. We does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. We will continue to provide updated information as soon as clinical findings are available.",Real
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.",Real
Should I wear mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so We urge people to use masks wisely.",Real
How long is the incubation period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",Real
Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.",Real
Can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly.",Real
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other corona viruses. Studies suggest that corona viruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others.",Real
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",Real
Telephone Conversation between PM and Prime Minister of Sweden,"Prime Minister Shri Narendra Modi had a telephone conversation today with H.E. Stefan.Lofven, Prime Minister of Sweden. The two leaders discussed the ongoing COVID-19 pandemic, and the steps being taken in their respective countries for controlling its health and economic impacts.",Real
Telephone Conversation between PM and Sultan of Oman,"Prime Minister Shri Narendra Modi spoke on telephone today with His Majesty Haitham bin Tarik, Sultan of Oman.  The two leaders discussed the health and economic challenges posed by the ongoing COVID-19 pandemic, and the steps being taken by their respective countries to respond to them.",Real
Telephone Conversation between PM and  King of the Kingdom of Bahrain,"Prime Minister Shri Narendra Modi had a telephone conversation with His Majesty Hamad Bin Isa Al Khalifa, King of the Kingdom of Bahrain.  The two leaders discussed the ongoing COVID-19 health crisis and its consequences, including on logistics chains and financial markets.",Real
Ministry of Shipping plays a pro-active role towards ensuring smooth shipping operations in COVID-19 situation and lockdown in the country,"Total traffic handled at Major Ports from April to March 2020 shows 0.82% growth in tonnage. Over 46,000 crew/passenger thermal- scanned at ports. Penalties, demurrage, charges, fee, rentals levied by the Major ports waived off on any port user. Hospitals across the Major Port Trusts are prepared for Covid-19.",Real
Advisory regarding containing and management of COVID-19 in National Parks/Sanctuaries/Tiger Reserves,"In view of the spread of COVID 19 in the country and a recent news report on a Tiger being infected with the COVID 19 in New York, Ministry of Environment, Forest and Climate Change has issued an advisory regarding containing and management of COVID-19 in National Parks/Sanctuaries/Tiger Reserves as it is felt that there are possibilities of spread of the virus amongst animals in National Parks/Sanctuaries/Tiger Reserves and also transmission of the virus from humans to animals and vice-versa.",Real
Indian Railways in a race against time to make In-house PPE overall,"Indian Railways has taken up the in-house  production of PPE type overall on a mission mode. An overall produced by Jagadhari workshop was recently cleared by a DRDO lab, authorised for the purpose. Approved design and material will now be used for making this protective overall by other workshops under different zones. ",Real
"Amidst the COVID-19 lockdown, FCI moves 662 rakes carrying about 18.54 Lakh MT food grains across the country in 14 days since 24th March",FCI has sent enough stocks to states throughout the country to implement PM Garib Kalyan Ann Yojana (PMGKAY) wherein 5 kg foodgrain per person per month for next three months has to be distributed free to all National Food Security Act (NFSA) beneficiaries. ,Real
"HRD Ministry launches ""Samadhan"", a challenge to fight against covid19 and future challenges",The Innovation Cell of the Ministry of Human Resources Development and All India Council for Technical Education in collaboration with Forge and InnovatioCuris launched a mega online challenge - SAMADHAN - to test the ability of students to innovate.,Real
CM's COVID-19 RELIEF FUND,Manipur CM tweeted that state will transfer Rs.2000 from the CM's COVID-19 RELIEF FUND to Bank accounts of each person who are stranded outside the State during the lockdown.,Real
Door-to-door survey,"The Goa government has announced a community door-to-door survey to be completed in three days. Around 7,000 enumerators will be involved in surveying people across the state for flu-like symptoms and travel histories.",Real
Kerala:  Health Minister,Kerala:  Health Minister says restrictions will continue in the state even after April 14. Mumbai Police identifies Keralites who had stayed with 1st Covid patient from Dharavi; all of them attended Delhi TJ meet. One Keralite died of Covid in US today. ,Real
Andhra Pradesh,"Andhra Pradesh:  Total Covid deaths 4, with 1 in Kurnool today. 900 ventilators available.  State decides to start random sampling in hot spots.  State directs pvt hospitals to treat Covid cases under Aarogyasri Health care pgm; treatment fee fixed : Rs 16,000-Rs 2.16 lakh.",Real
Dr. Li Wenliang and his TEA cure,"Dr. Li Wenliang, China's hero doctor who was punished for telling the truth about Corona Virus and later died due to the same disease, had documented casefiles for research purposes and had in the casefiles proposed a cure that would significantly decrease the impact of the COVID - 19 Virus on the human body. The chemical Methylxanthine, Theobromine and Theophylline stimulate compounds that can ward off these virus in a human with atleast an average immune system. Whats more shocking is that these complex words that were so difficult for people in China to understand is actually called Tea in India, YES, our regular Tea has all these chemicals already in it. The main Methylxanthine in tea is the stimulant caffeine. Other Methylxanthines found in tea are two chemically similar compounds, Theobromine and Theophylline. The tea plant creates these chemicals as a way to ward off insects and other animals. Who would have known that all the solution to these virus would be a simple cup of TEA. and that is the reason so many patients in China are being cured. The hospital staff in china has started serving tea to the patients 3 times a day, And the effect is finally in Wuhan ""The centre of this Pandemic"" has been contained and community transmission has almost stopped.",Fake
Sub ki Lee,The Chinese Govt  has just released the name of the citizen of Wuhan who was the first carrier of the virus. His name is Sub ki Lee.,Fake
Israel health minister,"Israel health minister, who claims coronavirus is ‘divine punishment’ for homosexuality, tests positive for COVID-19",Real
Breathing water vapour," Chinese expert asserts and stresses that breathing water vapor kills the Corona virus 100% if it is present in the lungs, throat or nose, as the virus does not tolerate the temperature of warm water vapor .. Please publish this information on your page and on the widest scale",Fake
Global ban, UN calls for global ban on wildlife markets to prevent future pandemics,Real
Isolation beds by Indian Railways,"Indian Railways has prepared 40,000 isolation beds in 2,500 coaches. They are making 375 isolation beds daily and this is going on across 133 locations across the country: Lav Aggarwal, Joint Secretary, Health Ministry.",Real
Military forces have been called,"Eslliye Police Ne Military Forces Ko Bulaya Gya Hai.Ab Ye Military Forces en ilako ki Nigrani Sakhti Se Karegi, Lathi Charge Ke Sath Sath rabber bullets fire hoga.Esliye Ghar se Nikalna Or Bekar me idhar udhar bhatakna Band kare...Turant",Fake
Whatsapp alert,WhatsApp info regarding ?.1. ? = Message Sent 2. ?? = Message Delivered  3. 2 Blue ?? = Message Read 4. 3 Blue ??? = Government has taken a Note 5. 2 Blue 1 Red ??? = Government can take action against you 6.  ?? ???? ?? ?? ??? 1 Blue 2 Red ??? = Government is screening your data 7. 3 Red ??? =  Government has initiated action & you'll receive summons from court,Fake
Effected of coronavirus, Drinking warm water with lemon protects agains the novel coronavirus.,Fake
kill Coronavirus," There is science behind Indian Prime minister Modi’s 5 PM clapping initiative. Clapping generates vibration which can kill Coronavirus. Also, 22 March 2020 is Amavasya.",Fake
Couse of coronavirus," A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
Effected of coronavirus, Turmeric and lemon can cure coronavirus.,Fake
Effected of coronavirus, Bus driver in China vomits blood after becoming unconscious behind the wheel.,Fake
Photo, Viral post along with a pictures claims civilian thrashing a policeman during lockdown.,Real
Cure For coronavirus., Anti-Malaria Drug Chloroquine Is A Cure For coronavirus.,Fake
 fight coronavirus to India., Google has donated 59 billion (5900 crores) rupees to fight coronavirus to India.,Fake
Effected of coronavirus,"Eslliye Police Ne Military Forces Ko Bulaya Gya Hai.Ab Ye Military Forces en ilako ki Nigrani Sakhti Se Karegi, Lathi Charge Ke Sath Sath rabber bullets fire hoga.Esliye Ghar se Nikalna Or Bekar me idhar udhar bhatakna Band kare...Turant",Fake
Photo, Photo of Meat (mutton) affected by coronavirus.,Fake
 Coronavirus scare., Italians are throwing their money on the streets as it is useless to them now in the time of Coronavirus scare.,Fake
shut down in the country., News graphic saying Indian Prime Minister has asked for internet to be shut down in the country.,Fake
Photo, Image Show Dead People On The Streets Of China.,Fake
 UNICEF, Precautionary measures suggested by the UNICEF.,Fake
COVID-19 patient , A positive COVID-19 patient recently met Narendra Modi.,Fake
Effeceted of coronavirus,"Eslliye Police Ne Military Forces Ko Bulaya Gya Hai.Ab Ye Military Forces en ilako ki Nigrani Sakhti Se Karegi, Lathi Charge Ke Sath Sath rabber bullets fire hoga.Esliye Ghar se Nikalna Or Bekar me idhar udhar bhatakna Band kare...Turant",Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Hubei district is filled with bats on their roofs which are the main source of coronavirus thus the virus spread there.,Fake
Coronavirus, Video of police killing COVID-19 affected people in China.,Fake
kill COVID-19., Bitter gourd juice can cure coronavirus in just two hours.,Fake
coronavirus in cow urine., Chinese intelligence officer terms the Novel coronavirus as a biological weapon invented by China.,Fake
coronavirus.," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
coronavirus pandemic.," To defeat the coronavirus, China had built a thousand bed hospital in 10 days, while India has prepared a modern hospital of 6370 beds overnight, at a very low cost.",Fake
 coronavirus., Girl infected with coronavirus found dead in her apartment in Delhi.,Fake
under quarantine., Garlic Water Can Cure Novel coronavirus.,Fake
 Indian State of Kerala’s government, Recent photo of PM Modi visiting a Church and offering prayers to save the country from the coronavirus outbreak.,Fake
 COVD19 in the country., Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously.,Fake
sharing information related to the coronavirus , Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
Photo viral arm burned, Indian Army has set-up a 1000 bed quarantine facility in Rajasthan’s Barmer.,Fake
Coronavirus patients, An image poster stating Indian religious leader Mata Amritanandamayi has hidden foreigners in her hermitage and not allowed them to be tested.,Fake
contracted coronavirus, Muslims are licking their plates to spread coronavirus and infect more people by the virus.,Fake
contracted coronavirus, Police in India lashed sticks at filmmaker Sudhir Mishra for not following the rules of lockdown.,Fake
 Coronavirus outbreak., Image of coffins from Italy showing carnage due to recent COVID-19 outbreak.,Fake
Video viral crackdown, Videos showing police detaining COVID-19 patients in India,Fake
 novel coronavirus scare., Pope Francis kissed the feet of “black people” and asked forgiveness during novel coronavirus scare.,Fake
 coronavirus?, Can cannabis cure coronavirus?,Fake
family members to coronavirus., People in Italy are threw away their money after they lost their family members to coronavirus.,Fake
lockdow, Filmmaker Sudhir Mishra getting beaten up by police during the lockdown for stepping out of home.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi," No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.",Fake
Coronavirus, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
kill COVID-19., Indian PM Modi is providing free masks to people under ‘Swachh Bharat Mission’ to keep them protected from Coronavirus outbreak.,Fake
coronavirus in cow urine., Dettol sanitizer can kill coronavirus. The company knew about the coronavirus back in 2019.,Fake
coronavirus.," UK, USA have asked Indian Prime Minister Narendra Modi to lead a task force to tackle Coronavirus.",Fake
coronavirus pandemic.," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
 coronavirus., Government of an Indian state Madhya Pradesh ordered shoot-at-sight to enforce lockdown.,Fake
under quarantine., Coronavirus was created in a lab in Wuhan.,Fake
 Indian State of Kerala’s government, Italy has surrendered to the Coronavirus pandemic as all the measures to control COVID-19 have been exhausted.,Fake
 COVD19 in the country., Cov case in Uttar Pradesh district.,Fake
sharing information related to the coronavirus , A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,Fake
Photo viral arm burned, Video of police roughing up civilians claimed to be Police in Spain enforcing a lockdown.,Fake
Coronavirus patients, An image of Indian Home Minister Amit Shah visiting COVID-19 patients.,Fake
contracted coronavirus, India will go under lockdown from 15 April to 15 June 2020.,Fake
contracted coronavirus, Sanitizer manufacturer Dettol knew about 2019 Novel coronavirus before it was actually reported.,Fake
 Coronavirus outbreak.," A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook, Twitter and Instagram alongside a claim it shows him stating the US threatened to spread the novel coronavirus, COVID-19, in Iraq during a meeting in the 1990s.",Fake
2019 novel coronavirus, 2019 novel coronavirus can be cured by one bowl of freshly boiled garlic.,Fake
coronavirus.," A worker of Prince hotel in Mehdipatnam (Hyderbad, India) has tested positive for coronavirus.",Fake
coronavirus outbreak , Chinese President Xi Jinping visited mosque amid coronavirus outbreak and requested the people of the Muslim community to pray ‘in present crisis,Fake
 Coronavirus outbreak., Coronavirus fears in Germany result in large crowds outside the supermarket.,Real
 Coronavirus outbreak., Coronavirus is also spread through newspapers.,Fake
coronavirus., Cow urine is helpful to fight coronavirus.,Fake
lockdown," In the backdrop of the lockdown, videos of wild animals taking over the roads are surfacing on the internet. Among them, a set of pictures of a herd of Deers is doing the rounds on social media claiming that these pictures are from Lake Club, Chandigarh.",Fake
 Coronavirus outbreak., Coronavirus can live only up to 12 hours on any surface,Fake
 kill viruses., Indian industrialist tweets that a specific mask can kill viruses.,Fake
 Prime Minister Narendra Modi , Prime Minister Narendra Modi announced a 14 hour curfew as the virus lives for 12 hours on surfaces.,Fake
 coronavirus varies, pH level of coronavirus varies from 5.5 to 8.5 and to beat the virus we should consume more alkaline food.,Fake
"coronavirus, COVID-19."," A post has been shared repeatedly in multiple posts on Facebook, Twitter and Whatsapp which claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus, COVID-19.",Fake
Video viral crackdown, Video of the current situation in Italy due to coronavirus.,Fake
Video viral crackdown, Video of kids from Italy yelling at stars assuming them to be their dead mother.,Fake
COVID-19 outbreak in India, Streaming apps Netflix and Amazon Prime give free subscriptions during COVID-19 outbreak in India,Fake
coronavirus killed , A woman infected with coronavirus killed by Chinese police.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Passengers at Delhi airport got agitated Wednesday morning as their passports were withheld by airport authorities.,Real
Coronavirus, Prime Minister of China visited a mosque and realised that the only way to protect oneself from coronavirus is to bow before Allah.,Fake
kill COVID-19., Whales spotted at Bombay High – the offshore rig for the Oil and Natural Gas Corporation,Fake
coronavirus in cow urine.," Coronavirus patients were being arrested in Punjab, India.",Fake
coronavirus., Actor Tom Hanks died due to coronavirus.,Fake
coronavirus pandemic., “THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPES TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts..Very important”,Fake
 coronavirus., Hydroxychloroquine (HCQ) can prevent COVID-19.,Fake
under quarantine., Clapping together at 5 pm will create a vibration which will destroy coronavirus.,Fake
 Indian State of Kerala’s government, COVID-19 case in east Indian state.,Fake
 COVD19 in the country., Chicken causes coronavirus.,Fake
sharing information related to the coronavirus , Images of the medical facility shared with the claim that the Indian Army set up a 1000-bed hospital in Rajasthan amidst Coronavirus Pandemic.,Fake
Photo viral arm burned, Drinking water every 15 mins will protect people from coronavirus.,Fake
Coronavirus patients, UV rays and sunlight can kill coronavirus.,Fake
contracted coronavirus, Buring candles will increase the temperature which in turn will kill coronavirus.,Fake
contracted coronavirus, The current Coronavirus outbreak is due to the movement towards 5G.,Fake
 Coronavirus outbreak., A group of Muslim boys licking utensils to spread coronavirus.,Fake
coronavirus., “Arsenic album-30 homeopathic medicine can prevent coronavirus. Information given by Ministry of AYUSH.”,Fake
coronavirus pandemic., The indian government distributing free face masks.,Fake
 coronavirus., Steam Therapy can kill Coronavirus.,Fake
under quarantine.," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
 Indian State of Kerala’s government, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
 COVD19 in the country., Lions released on Russian streets by Vladimir Putin to force people inside.,Fake
sharing information related to the coronavirus ," China has sought to kill 20,000 coronavirus patients to control the spread of the virus.",Fake
Photo viral arm burned, Image of coronavirus victims in China.,Fake
Coronavirus patients, Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar.,Fake
contracted coronavirus, WHO approves anti-Malarial drug Chloroquine for COVID-19.,Fake
contracted coronavirus, Photo of an Italian doctor waving goodbye to co-doctors as he is about to die due to coronavirus.,Fake
coronavirus in cow urine., Video of Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from coronavirus.,Fake
coronavirus., This video shows the cause of cov.,Fake
coronavirus pandemic., There is no space in the hospitals in Italy because of which people are crowding outside.,Fake
 coronavirus., Video of Police in China taking into control suspected COVID-19 patients in the country.,Fake
under quarantine., A WhatsApp forward is doing the rounds which claims that Prime Minister Narendra Modi called for a 14-hour long ‘Janta Curfew’ on 22 March from 7 am to 9 pm because the lifespan of the coronavirus at one place is only 12 hours and if we all follow the Janta Curfew religiously then the chain will be broken,Fake
 Indian State of Kerala’s government, Images of BJP men smearing cow dung on one another after their party leader Suman Haripriya has said that cow dung may help cure Coronavirus.,Fake
 COVD19 in the country., Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.,Fake
sharing information related to the coronavirus , Government of India has announced a ‘National Lockdown’ in the country from 20 March 2020.,Fake
Photo viral arm burned, A drug made from cow urine or pigeon membrane can cure coronavirus.,Fake
Coronavirus patients, The Chinese Prime minister visited a mosque to gain protection for coronavirus.,Fake
contracted coronavirus, 5000 million Rupees fund allocated by Telangana CM KCR for coronavirus prevention is entirely funded by Central Government.,Fake
contracted coronavirus, A Whatsapp forward claiming all calls will be recorded by the Indian government..,Fake
 Coronavirus outbreak., Russia released 500 lions to ensure people would stay inside houses.,Fake
 Vaccines to cure , Vaccines to cure COVID-19 are ready.,Fake
coronavirus or not, Hold your breath for 10 seconds to check if you have coronavirus or not.,Fake
 Coronavirus-, Coronavirus-infected chicken found in Bengaluru.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Russia announces the closure of airspace and suspension of all its incoming and outgoing flights to China.,Fake
Coronavirus," As coronavirus outbreak surges, PM Narendra Modi has decided to facilitate fellow countrymen with free masks under the ‘Swacch Bharat’ scheme.",Fake
